,Personality,Title,Sentence,Context,sentiment
Date,Martin Luther King Jr.,Paul's Letter to American Christians,Mr.,"Civil rights, unity, morality, technology, spirituality.",0.997602165
03-06-1958 00:00,Martin Luther King Jr.,Paul's Letter to American Christians,"Chairman, distinguished platform associates, ladies and gentlemen, I need not pause to say how very delighted I am to be here this morning and to be a part of this very rich fellowship.","Civil rights, unity, morality, technology, spirituality.",0.999851823
03-06-1958 00:00,Martin Luther King Jr.,Paul's Letter to American Christians,I want to express my personal appreciation to the Board of Missions for extending this invitation and making it possible for me to share in this great meeting.,"Civil rights, unity, morality, technology, spirituality.",0.999747694
03-06-1958 00:00,Martin Luther King Jr.,Paul's Letter to American Christians,I must apologize for being late this morning but I am sure you will forgive me when you realize that I didn't get in town until about six o'clock this morning after riding all night on trains and planes with a minimum of sleep.,"Civil rights, unity, morality, technology, spirituality.",0.98997736
03-06-1958 00:00,Martin Luther King Jr.,Paul's Letter to American Christians,I can assure you if I had been in town earlier I would have been here on time this morning.,"Civil rights, unity, morality, technology, spirituality.",-0.996237755
03-06-1958 00:00,Martin Luther King Jr.,Paul's Letter to American Christians,But certainly it is a real pleasure and privilege to greet you this morning and to be here.,"Civil rights, unity, morality, technology, spirituality.",0.999869585
03-06-1958 00:00,Martin Luther King Jr.,Paul's Letter to American Christians,"Now, since this is an overseas breakfast, naturally we are concerned about world issues—issues confronting the Christian church, issues facing our whole missionary enterprise.","Civil rights, unity, morality, technology, spirituality.",0.998202205
03-06-1958 00:00,Martin Luther King Jr.,Paul's Letter to American Christians,But I'd like to discuss with you this morning some of the problems confronting our nation.,"Civil rights, unity, morality, technology, spirituality.",0.998114467
03-06-1958 00:00,Martin Luther King Jr.,Paul's Letter to American Christians,"And before you accuse me of being provincial here, let me say to you that our nation is a part of the world, and before the problems of the world are solved, we must solve the problems of our nation, for we are caught in an inescapable network of mutuality.","Civil rights, unity, morality, technology, spirituality.",0.991552413
03-06-1958 00:00,Martin Luther King Jr.,Paul's Letter to American Christians,"Whatever affects one directly, it affects all indirectly.","Civil rights, unity, morality, technology, spirituality.",0.943981469
03-06-1958 00:00,Martin Luther King Jr.,Paul's Letter to American Christians,Missionaries tell us every day that the missionary undertaking is made more difficult in so many instances because of the gap in our national life between practice and profession.,"Civil rights, unity, morality, technology, spirituality.",-0.9989779
03-06-1958 00:00,Martin Luther King Jr.,Paul's Letter to American Christians,And so I want to discuss some of the problems that we confront in our nation and problems that must be solved if our missionary efforts are to be meaningful.,"Civil rights, unity, morality, technology, spirituality.",0.995672822
03-06-1958 00:00,Martin Luther King Jr.,Paul's Letter to American Christians,What I have to say this morning will be in the form of a letter.,"Civil rights, unity, morality, technology, spirituality.",-0.99513346
03-06-1958 00:00,Martin Luther King Jr.,Paul's Letter to American Christians,"I would like to share with you an imaginary letter which comes from the pen of the Apostle Paul, and the postmark reveals that it comes from the island of Crete.","Civil rights, unity, morality, technology, spirituality.",0.988115072
03-06-1958 00:00,Martin Luther King Jr.,Paul's Letter to American Christians,"After opening the letter, I discovered that it was written in ill-formed, sprawling Greek.At the top of the letter was this inscription: “Please read when the people assemble themselves together and pass on to the other churches.” For many weeks now I have been laboring with the translation.","Civil rights, unity, morality, technology, spirituality.",-0.999128997
03-06-1958 00:00,Martin Luther King Jr.,Paul's Letter to American Christians,"At times it has been difficult, but now I believe I have deciphered its true meaning.","Civil rights, unity, morality, technology, spirituality.",0.9881953
03-06-1958 00:00,Martin Luther King Jr.,Paul's Letter to American Christians,"And if in presenting the letter the contents sound strangely Kingian instead of Paulinian, attribute it to my lack of complete objectivity rather than Paul's lack of clarity.","Civil rights, unity, morality, technology, spirituality.",-0.999679804
03-06-1958 00:00,Martin Luther King Jr.,Paul's Letter to American Christians,It is miraculous indeed that the Apostle Paul should be writing a letter to you and to me nearly nineteen hundred years after his last letter appeared in the New Testament.,"Civil rights, unity, morality, technology, spirituality.",0.996201813
